epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37213,3.41615,5.46622,1.20453,0.00267,0.09302,0.00222,0.00043,3.52646,4.64196,1.11429,2e-05,2e-05,2e-05
2,7.53575,3.38864,5.47375,1.13829,0.00267,0.09302,0.00228,0.00044,3.53061,4.65095,1.11323,5.97624e-05,5.97624e-05,5.97624e-05
3,9.49986,3.38425,5.57588,1.15094,0.00267,0.09302,0.00237,0.00045,3.53112,4.65966,1.11112,9.9208e-05,9.9208e-05,9.9208e-05
4,11.5117,3.29556,5.55535,1.13959,0.54762,0.53488,0.50566,0.20964,2.12373,34.8829,0.85509,0.000138337,0.000138337,0.000138337
5,14.294,2.21379,18.9071,0.86579,0.00917,0.13953,0.00548,0.00262,2.11791,15.5067,0.85481,0.000177149,0.000177149,0.000177149
6,17.1141,2.60955,16.9662,0.95746,0.00976,0.11628,0.00539,0.00259,2.15063,14.1443,0.85541,0.000215644,0.000215644,0.000215644
7,19.6794,2.16892,9.74401,0.88988,0.02333,0.5814,0.01857,0.00908,1.88887,inf,0.8477,0.000253822,0.000253822,0.000253822
8,22.2703,1.87804,3.8106,0.84882,0.17153,0.88372,0.24132,0.11853,1.8287,nan,0.8345,0.000291684,0.000291684,0.000291684
9,24.8242,1.91822,2.84269,0.865,0.17153,0.88372,0.24132,0.11853,nan,nan,nan,0.000329229,0.000329229,0.000329229
10,27.3352,1.90578,2.30108,0.8247,0.17153,0.88372,0.24132,0.11853,2.03588,nan,0.86718,0.000366457,0.000366457,0.000366457
11,29.8572,1.92802,2.08953,0.85411,0.012,0.4186,0.00984,0.00474,1.99812,nan,0.85235,0.000403368,0.000403368,0.000403368
12,32.339,1.92884,2.01427,0.8894,0.00899,0.30233,0.00575,0.00312,1.78396,inf,0.85034,0.000439962,0.000439962,0.000439962
13,34.8334,1.77303,1.2934,0.86766,0.02695,0.81395,0.02501,0.01321,nan,nan,nan,0.00047624,0.00047624,0.00047624
14,37.3186,1.74998,1.13658,0.85631,0.05476,0.81395,0.05187,0.02496,nan,nan,nan,0.000512201,0.000512201,0.000512201
15,39.7938,1.76192,1.07254,0.83805,0.142,0.60465,0.21135,0.11106,1.88601,31.1937,0.82819,0.000547845,0.000547845,0.000547845
16,42.266,1.68493,0.86959,0.82683,0.18771,0.53488,0.16713,0.07268,2.19671,nan,0.85614,0.000583172,0.000583172,0.000583172
17,44.7931,1.54305,0.85571,0.80504,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000618182,0.000618182,0.000618182
18,47.321,1.53697,0.9214,0.82565,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000652876,0.000652876,0.000652876
19,49.8301,1.54528,0.84209,0.79879,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000687253,0.000687253,0.000687253
20,52.335,1.64064,0.77551,0.83887,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000721313,0.000721313,0.000721313
21,54.8669,1.53383,0.87107,0.81372,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000755056,0.000755056,0.000755056
22,57.3739,1.67361,1.32045,0.82775,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000788482,0.000788482,0.000788482
23,59.844,1.48201,1.30229,0.83795,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000821592,0.000821592,0.000821592
24,62.3215,1.57865,0.88953,0.82721,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000854385,0.000854385,0.000854385
25,64.785,1.66929,0.83049,0.83518,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000886861,0.000886861,0.000886861
26,67.2484,1.30909,0.62856,0.83053,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00091902,0.00091902,0.00091902
27,69.7262,1.59201,0.78567,0.81168,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000950862,0.000950862,0.000950862
28,72.2356,1.71892,0.74739,0.81852,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.000982388,0.000982388,0.000982388
29,74.7662,1.61753,0.70437,0.84347,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.0010136,0.0010136,0.0010136
30,77.2569,1.45733,0.66632,0.82534,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00104449,0.00104449,0.00104449
31,79.759,1.44123,0.74437,0.81635,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00107506,0.00107506,0.00107506
32,82.2823,1.57182,0.68815,0.81801,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00110532,0.00110532,0.00110532
33,84.7731,1.67153,0.72953,0.81861,0.18771,0.53488,0.16713,0.07268,nan,nan,nan,0.00113526,0.00113526,0.00113526
