epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.99403,0,0,119.176,0,0,0,0,0,0,0,0,0,0,0,56.7852,0,0.00028339,0.00028339,0.00028339
2,8.18818,0,0,100.632,0,0,0,0,0,0,0,0,0,0,0,32.8975,0,0.00058114,0.00058114,0.00058114
3,10.3672,0,0,86.0694,0,0,0,0,0,0,0,0,0,0,0,22.0957,0,0.000876513,0.000876513,0.000876513
4,12.4028,0,0,78.3547,0,0,0,0,0,0,0,0,0,0,0,441.817,0,0.00116951,0.00116951,0.00116951
5,14.4719,0,0,71.2873,0,0,0,0,0,0,0,0,0,0,0,337.361,0,0.00146013,0.00146013,0.00146013
6,16.503,0,0,66.6917,0,0,0,0,0,0,0,0,0,0,0,725.361,0,0.00163399,0.00163399,0.00163399
7,18.5784,0,0,61.237,0,0,0,0,0,0,0,0,0,0,0,217.986,0,0.00162739,0.00162739,0.00162739
8,20.7032,0,0,54.9349,0,0,0,0,0,0,0,0,0,0,0,27.9238,0,0.00162079,0.00162079,0.00162079
9,22.7428,0,0,48.6856,0,0,0,0,0,0,0,0,0,0,0,29.75,0,0.00161419,0.00161419,0.00161419
10,24.7511,0,0,43.1366,0,0,0,0,0,0,0,0,0,0,0,38.499,0,0.00160759,0.00160759,0.00160759
11,26.7253,0,0,37.871,0,0,0,0,0,0,0,0,0,0,0,11.7275,0,0.00160099,0.00160099,0.00160099
12,28.7543,0,0,33.0811,0,0,0,0,0,0,0,0,0,0,0,0.16309,0,0.00159439,0.00159439,0.00159439
13,30.7244,0,0,28.404,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158778,0.00158778,0.00158778
14,32.9003,0,0,24.3437,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00158118,0.00158118,0.00158118
15,35.1425,0,0,20.5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00157458,0.00157458,0.00157458
16,37.5395,0,0,17.2946,0,0,0,0,0,0,0,0,0,0,0,0.00781,0,0.00156798,0.00156798,0.00156798
17,39.7171,0,0,14.3431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00156138,0.00156138,0.00156138
